ID,ID Centro de Distribución,ID Solicitante,ID Laboratorio,Nombre,Nombre Generado,Características,ID Forma Farmacéutica,Cantidad,ID Medida Peso/Tamaño,ID Tipo Empaque,Talla/Capacidad,Calibre/Grosor/Diámetro,Descripción Oferta Especial,Vencimiento Registro Sanitario,Número Registro Sanitario,Código de Barras,ID Tipo de Impuesto,ID Clasificación,Es Controlado,Es Refrigerado,Uso Hospitalario,Requiere Receta Retenida,Uso Crónico,Para Farmacias Propias,Para Farmacias Independientes,Para Uso Institucional/Hospitalario,Es Ruteado,Para Venta al por Mayor,Para Autoservicio,Es Borrador,Activo
1,,,,ERGE,ERGE 100% BICARBONATO DE SODIO 30LB CAPSULA CAJA 30 (2+1 EN CUPON),100% Bicarbonato de sodio,,30,,,30,,2+1 EN CUPON,2029-03-01,B-44786,7.40116E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE
2,,,,ENFALAC (0-12 MESES) * 1.4kg       ,ENFALAC (0-12 MESES) * 1.4KG        1.4 POLVO BOTE,,,14,,,,,,2028-03-06,A-96743,7.50621E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
3,,,,Almacenador cortador y triturador de pastillas vitalbox,DELHERS ALMACENADOR CORTADOR Y TRITURADOR DE PASTILLAS VITALBOX ALMACENA CORTA Y TRITURA PASTILLAS 0 1G OTROS (RUTEO) CAJA 0 (0),almacena corta y tritura pastillas,,1,,,0,0,0,2030-01-01,no requiere,06978729 840013,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
4,,,,CERAVE AIR FOAM CLEANSER 148 ML,CERAVE AIR FOAM CLEANSER 148 ML LIMPIADOR AIR FOAM TEXTURA ESPUMA  1ML ESPUMA BOTE,LIMPIADOR AIR FOAM TEXTURA ESPUMA ,,1,,,,,,2030-07-31,131454,3.33788E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
5,,,,OSTEOCARE ZINC + VIT D3 (DUOPACK),"OSTEOCARE ZINC + VIT D3 (DUOPACK) CARBONATO DE CALCIO, VITAMINA D3, ZINC Y MAGNESIO 60G TABLETA CAJA 141","Carbonato de Calcio, Vitamina D3, Zinc y Magnesio",,60,,,141,,,2029-04-26,PFD-49172,8.01705E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
6,,,,Pro Doble Acción Profile 1000 Cepillo Dental 1 Unidad,P&G PRO DOBLE ACCIÓN PROFILE 1000 CEPILLO DENTAL 1 UNIDAD DOBLE ACCIÓN PROFILE 1000 CEPILLO DENTAL 1 UNIDAD 1UNIDAD OTROS (RUTEO) DISPLAY,Doble Acción Profile 1000 Cepillo Dental 1 Unidad,,1,,,,,,2026-02-09,PT-76797,7.50109E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
7,,,,Plax Odor Control 750ml,"COLGATE PLAX ODOR CONTROL 750ML EL ENJUAGUE BUCAL COLGATE PLAX ODOR CONTROL TIENE UNA TECNOLOGÍA QUE NEUTRALIZA OLORES FUERTES DE COMIDA, COMO EL AJO Y LA CEBOLLA.
 1ML ENJUAGUE BUCAL FRASCO","El enjuague bucal Colgate Plax Odor Control tiene una tecnología que neutraliza olores fuertes de comida, como el ajo y la cebolla.
",,1,,,,,,2027-05-17,PT- 111587,7.50955E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,
8,,,,AGEFEN KIDS 200MG,AGEFEN KIDS 200MG SOBRES BEBIBLES  10ML SOBRE BEB DISPENSADOR 10 (3+2 POR INTRODUCCION),SOBRES BEBIBLES ,,10,,,10,,3+2 POR INTRODUCCION,2026-04-16,PF59308-2021,7.40111E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
9,,,,ENERGY SHOT,IRONWRX ENERGY SHOT GEL ENERGÉTICO E ISOTÓNICO SABOR CHERRY 65ML GEL SACHET,Gel energético e isotónico sabor Cherry,,65,,,,,,2027-08-22,B41841,7.40401E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
10,,,,ADELLA MINI GTAB CJAX28UN,ADELLA MINI GTAB CJAX28UN GTAB 28G TABLETA RECUBIERTA CAJA,GTAB,,28,,,,,,2029-02-20,PF-56222,7.70315E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
11,,,,FLEGON,FLEGON PREGABALINA 75MG 75G TABLETA CAJA,PREGABALINA 75MG,,75,,,,,,2030-03-13,27087, Q,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
12,,,,ISDIN Fotoprotector Invisible Stick SPF50,ISDIN FOTOPROTECTOR INVISIBLE STICK SPF50 PROTECTOR SOLAR INVISIBLE EN STICK 1G BARRA BOTE 10GR,Protector solar invisible en stick,,1,,,10GR,,,2030-05-26,129725,4.2942E+11,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
